2024-07-20 01:43:25,928 | INFO | aiogram | Bot: Милый Ботик [@test_20240531_bot]
2024-07-20 01:43:26,035 | WARNING | aiogram | Updates were skipped successfully.
2024-07-20 01:43:26,035 | INFO | aiogram.dispatcher.dispatcher | Start polling.
2024-07-20 01:43:44,750 | INFO | root | Получено сообщение от Svetlana Pavlova: Привет!
2024-07-20 01:43:44,751 | INFO | root | Вся информация: {"message_id": 1032, "from": {"id": 1280283438, "is_bot": false, "first_name": "Svetlana Pavlova", "username": "SvetPavlova", "language_code": "ru"}, "chat": {"id": 1280283438, "first_name": "Svetlana Pavlova", "username": "SvetPavlova", "type": "private"}, "date": 1721439825, "text": "Привет!"}
2024-07-20 01:43:44,831 | INFO | root | Отправлен ответ: Введите команду /start, чтобы начать общение.
2024-07-20 01:43:53,407 | INFO | root | Получено сообщение от Svetlana Pavlova: /start
2024-07-20 01:43:53,407 | INFO | root | Вся информация: {"message_id": 1034, "from": {"id": 1280283438, "is_bot": false, "first_name": "Svetlana Pavlova", "username": "SvetPavlova", "language_code": "ru"}, "chat": {"id": 1280283438, "first_name": "Svetlana Pavlova", "username": "SvetPavlova", "type": "private"}, "date": 1721439834, "text": "/start", "entities": [{"type": "bot_command", "offset": 0, "length": 6}]}
2024-07-20 01:43:53,477 | INFO | root | Отправлен ответ: Привет! Я бот помогающий твоему здоровью.
2024-07-20 01:44:06,988 | INFO | aiogram.dispatcher.dispatcher | Stop polling...
2024-07-20 01:44:06,989 | WARNING | aiogram | Goodbye!
